ID,Category,Title,Purpose,Priority,Prompt_File
IMG-063,분야별/터널,막장전방 선행변위 계측 개념도,막장 전방 지반 선행변위계·굴진·막장거리,A,prompts/IMG-063_막장전방_선행변위_계측_개념도.md
IMG-064,분야별/항만·호안,항만·호안 계측 전체 개념도,[좌]육측|케이슨·안벽|[우]해측 횡단·구조물·주변지반·조위,A,prompts/IMG-064_항만-호안-계측-전체-개념도.md
IMG-065,시스템/전원,현장 계측 전원 통합 구성도,태양광·풍력·AC·AVR·배터리 통합,A,prompts/IMG-065_현장_계측_전원_통합_구성도.md
IMG-066,시스템/전원,상시 전원 AC 인입,배전반·차단기·AC-DC 정류,A,prompts/IMG-066_상시_전원_AC_인입.md
IMG-067,시스템/전원,AVR 자동전압조정기,불안정 AC 입력 전압 안정화,A,prompts/IMG-067_AVR_자동전압조정기.md
IMG-068,시스템/전원,풍력 하이브리드 전원,태양광·풍력·공용 배터리,A,prompts/IMG-068_풍력_하이브리드_전원.md
IMG-069,시스템/전원,배터리·축전 시스템,용량·종류·DoD·모니터링,A,prompts/IMG-069_배터리_축전_시스템.md
IMG-070,시스템/계측방식,수동 계측 개념도,현장 방문·리드아웃·현장 기록,A,prompts/IMG-070_수동_계측_개념도.md
IMG-071,시스템/계측방식,자동 계측 개념도,데이터로거·현장 저장·수집 주기,A,prompts/IMG-071_자동_계측_개념도.md
IMG-072,시스템/계측방식,원격 자동계측 개념도,현장·통신·서버·원격 모니터링,A,prompts/IMG-072_원격_자동계측_개념도.md
IMG-073,시스템/계측방식,스마트 계측 개념도,플랫폼·경보·보고·이벤트 로그,A,prompts/IMG-073_스마트_계측_개념도.md
IMG-074,시스템/계측방식,AI 계측 개념도,이상탐지·예측·HITL 보조,A,prompts/IMG-074_AI_계측_개념도.md
IMG-075,시스템/계측방식,계측 방식 5단계 계층도,수동·자동·원격·스마트·AI 포함 관계,A,prompts/IMG-075_계측_방식_5단계_계층도.md
IMG-076,시스템/데이터로거,동적 데이터로거 구성도,모듈형 DAQ·고속 동시 샘플링·IEPE 입력,A,prompts/IMG-076_동적_데이터로거_구성도.md
IMG-077,시스템/데이터로거,멀티플렉서(MUX) 구성도,체인 센서·순차 스캔·정적 로거 채널 확장,A,prompts/IMG-077_멀티플렉서_구성도.md
IMG-078,분야별/터널,록볼트 축력 계측 개념도,록볼트 축력계·변형률계 천단·어깨 배치,A,prompts/IMG-078_록볼트_축력_계측_개념도.md
IMG-079,분야별/터널,숏크리트 응력·변형 계측 개념도,변형률계 매립·라이닝 부담,A,prompts/IMG-079_숏크리트_응력_변형_계측_개념도.md
IMG-080,분야별/터널,강지보 응력 계측 개념도,스틸 세트·변형률계,A,prompts/IMG-080_강지보_응력_계측_개념도.md
IMG-081,분야별/건축,기둥 축소량 계측 개념도,수직 변형률계·층별 축소,A,prompts/IMG-081_기둥_축소량_계측_개념도.md
IMG-082,분야별/건축,건축 응력·변형률 계측 개념도,중대 부재·하중계,A,prompts/IMG-082_건축_응력변형률_계측_개념도.md
IMG-083,분야별/댐,댐 변형률 계측 개념도,제체 매립 변형률계,A,prompts/IMG-083_댐_변형률_계측_개념도.md
IMG-084,분야별/항만,항만구조물 변위 계측 개념도,케이슨·안벽 변위계,A,prompts/IMG-084_항만구조물_변위_계측_개념도.md
IMG-085,분야별/교량,교량 종·횡변위 계측 개념도,이음부·상부구조 변위계,A,prompts/IMG-085_교량_종횡변위_계측_개념도.md
IMG-086,분야별/교량,교량 진동 계측 개념도,가속도계·통행 응답,A,prompts/IMG-086_교량_진동_계측_개념도.md
IMG-087,분야별/구조물,구조물 지진 계측 개념도,강진동·응답 스펙트럼,A,prompts/IMG-087_구조물_지진_계측_개념도.md
IMG-088,분야별/구조물,구조물 온도 계측 개념도,온도계·수화열·계절 변동,A,prompts/IMG-088_구조물_온도_계측_개념도.md
IMG-096,분야별/가시설,가시설 주변지반 계측 설치 대표 단면도,센서형 다단식 지중경사계·침하·간극수압·지하수위 4종·H·2H,A,prompts/IMG-096_주변지반_계측_설치_대표_단면도.md
IMG-097,분야별/터널,터널 발파진동·영향권 계측 개념도,PPV·가속도계 측점·영향권,A,prompts/IMG-097_터널_발파진동_영향권_계측_개념도.md
IMG-103,분야별/교량,교량 상부구조 처짐 계측도,거더·PSC 연직변위 δ · 처짐계·광파,A,prompts/IMG-103_교량_상부구조_처짐_계측도.md
IMG-104,센서/처짐계,처짐계 설치·측정 개념도,LVDT·와이어 — 구조 처짐 전용,A,prompts/IMG-104_처짐계_설치_개념도.md
IMG-105,분야별/교량,교량 케이블 장력 계측도,사장교·주파수법 · ≠앵커 로드셀,A,prompts/IMG-105_교량_케이블장력_계측도.md
IMG-106,센서/케이블장력계,케이블장력계 설치 개념도,노출 케이블 ACC·주파수,A,prompts/IMG-106_케이블장력계_설치_개념도.md
IMG-107,분야별/교량,교량 변형률·응력 계측도,PSC·강재 휨·전단 SG,A,prompts/IMG-107_교량_변형률_응력_계측도.md
IMG-108,센서/무응력계,무응력계 설치 개념도,크리프·건조수축 보정,B,prompts/IMG-108_무응력계_설치_개념도.md
IMG-109,분야별/교량,교량 풍향·풍속 계측도,주탑·교면 · 진동 연계,A,prompts/IMG-109_교량_풍향풍속_계측도.md
IMG-110,분야별/교량,교량 받침부 변위 계측도,받침 슬라이드·회전 — ≠신축이음,A,prompts/IMG-110_교량_받침부_변위_계측도.md
